ID,ID_SRC,RA_1,DEC_1,EXT_LIKE,DET_LIKE,z,z_type,T_300kpc,T_300kpc_L,T_300kpc_U,L_300kpc,L_300kpc_L,L_300kpc_U,Lbol_300kpc,Lbol_300kpc_L,Lbol_300kpc_U,F_300kpc,F_300kpc_L,F_300kpc_U,T_500kpc,T_500kpc_L,T_500kpc_U,L_500kpc,L_500kpc_L,L_500kpc_U,Lbol_500kpc,Lbol_500kpc_L,Lbol_500kpc_U,F_500kpc,F_500kpc_L,F_500kpc_U,SNR_MAX,R_SNR_MAX,source_id,ref_epoch,ra_2,dec_2,parallax,pmra,pmdec,radial_velocity,propagated_epoch,propagated_dec,propagated_ra,GroupID,GroupSize,Separation
eFEDS J090255.5+044036,4348,135.7316657985034,4.676731239944416,7.7717915,40.233807,0.484140008687973,1,-1.0,-1.0,-1.0,3.7336E43,3.0729E43,4.4348E43,1.0832E44,8.462E43,1.4934E44,4.7595E-14,3.9363E-14,5.6542E-14,-1.0,-1.0,-1.0,5.0323E43,4.0721E43,6.0014E43,1.4485E44,1.1122E44,2.0392E44,6.4861E-14,5.1839E-14,7.6447E-14,7.27,1.4945,580153157163265152,2016.0,135.73129029419695,4.676490962455084,-0.3208535790896378,0.2646825783978657,0.43294254970295853,,"(135.7312891507849, 4.676489098396882, -0.3208535790896375, 0.2646825776934553, 0.43294255013360383, 2.858852884502857E-7)",4.676489098396882,135.7312891507849,,,1.608168829906806
eFEDS J090553.5+002244,5170,136.47321570305326,0.3790738390517304,10.762758,69.42714,0.3671,0,-1.0,-1.0,-1.0,1.4154E43,1.152E43,1.6703E43,5.6868E43,3.5081E43,7.5272E43,3.5114E-14,2.8711E-14,4.1665E-14,-1.0,-1.0,-1.0,1.6145E43,1.3041E43,1.9364E43,6.4032E43,4.0037E43,8.6519E43,4.0383E-14,3.2809E-14,4.8039E-14,6.07,0.9767,3843145773072605184,2016.0,136.47460896259295,0.37782256114798735,0.3653417908361347,0.9716263015409585,-0.2624312674577112,,"(136.474604779111, 0.3778236910603878, 0.3653417908361336, 0.9716263016673081, -0.26243126698989133, -9.876593120933529E-7)",0.3778236910603878,136.474604779111,,,6.727588182036348
eFEDS J090634.9+045033,8384,136.64544677216162,4.842652040037256,10.556057,42.721165,0.88414,0,-1.0,-1.0,-1.0,1.363E44,1.1027E44,1.7066E44,3.0459E44,2.461E44,3.7637E44,3.6906E-14,3.0203E-14,4.4821E-14,-1.0,-1.0,-1.0,1.8633E44,1.4755E44,2.283E44,4.1624E44,3.3614E44,4.9764E44,5.0497E-14,4.0921E-14,5.9874E-14,5.28,1.0902,580074434707432576,2016.0,136.64663023458823,4.841474413798182,-1.5854302368246085,-0.2746191441797776,-0.024871380311619676,,"(136.64663142121006, 4.841474520883292, -1.585430236824608, -0.27461914422325123, -0.024871379831600506, 1.7084024859503493E-8)",4.841474520883292,136.64663142121006,,,6.0023408188656875
eFEDS J090700.7+011032,9463,136.7531371657148,1.1756686500137368,10.286806,23.068323,0.79875,0,-1.0,-1.0,-1.0,3.7449E43,2.1467E43,5.4379E43,1.1392E44,6.6336E43,1.9682E44,1.4461E-14,9.0013E-15,2.0633E-14,-1.0,-1.0,-1.0,4.0362E43,2.3431E43,6.1208E43,1.2485E44,7.09E43,2.1339E44,1.602E-14,9.2869E-15,2.2936E-14,3.78,0.535,3843619937462006912,2016.0,136.7544755951298,1.1793902763428212,0.15935593137217413,-0.8388365849243289,0.4410098008896514,,"(136.75447920755258, 1.1793883775506204, 0.15935593137217371, -0.838836584352019, 0.4410098019782212, -2.0077151804985804E-6)",1.1793883775506204,136.75447920755258,,,14.235571099425076
eFEDS J090843.9-013034,4974,137.18307738978214,-1.5094748459037826,6.8801494,44.81356,0.254720002412796,1,-1.0,-1.0,-1.0,3.7729E42,2.8211E42,4.7576E42,1.3621E43,9.3157E42,1.8554E43,2.1154E-14,1.5749E-14,2.6404E-14,-1.0,-1.0,-1.0,4.8224E42,3.4641E42,6.0302E42,1.7236E43,1.1759E43,2.3476E43,2.6984E-14,1.9433E-14,3.3738E-14,4.99,1.2619,3841865632300179328,2016.0,137.18029766826257,-1.5078658656464103,0.1570615220713162,-0.9779921183151035,0.04489646477683187,,"(137.1803018805206, -1.5078660589506294, 0.15706152207131577, -0.9779921184019531, 0.04489646288484677, -2.1739182034578638E-6)",-1.5078660589506294,137.1803018805206,,,11.546018461896006
eFEDS J090930.6+034055,638,137.37751571374073,3.682170381882623,10.306753,15.229596,0.74,0,-1.0,-1.0,-1.0,1.2465E44,1.0564E44,1.4509E44,6.7505E44,5.5923E44,8.0594E44,6.9717E-14,5.9007E-14,8.1069E-14,-1.0,-1.0,-1.0,1.3798E44,1.1198E44,1.6124E44,7.4247E44,5.9329E44,8.9923E44,7.6704E-14,6.2635E-14,9.0211E-14,11.88,0.8742,579060032151492352,2016.0,137.3808874666441,3.674871390525124,0.17556097250995617,0.17021058947392276,-0.34510825726580363,,"(137.380886732283, 3.674872876407899, 0.1755609725099561, 0.17021058975742986, -0.3451082571259748, -3.00449218096722E-7)",3.674872876407899,137.380886732283,,,28.928094677034476
eFEDS J091108.0-015422,5376,137.78364262705549,-1.9062828700583954,7.052387,24.274166,1.2022,0,-1.0,-1.0,-1.0,6.02E43,4.06E43,7.9799E43,3.4227E44,2.2312E44,4.7239E44,1.1423E-14,7.8666E-15,1.5111E-14,-1.0,-1.0,-1.0,6.6853E43,4.3156E43,8.654E43,3.7389E44,2.3531E44,5.2012E44,1.257E-14,8.3606E-15,1.6287E-14,3.71,0.4936,3841603815389006208,2016.0,137.78330005952316,-1.9082659025859738,0.9852206363621765,-1.0107642658434859,0.2485557759383163,,"(137.78330441383966, -1.9082669727566706, 0.9852206363621733, -1.0107642664724894, 0.24855577338041604, -3.917356626908369E-7)",-1.9082669727566706,137.78330441383966,,,7.245687535380349
eFEDS J091331.0+024513,3488,138.3792494699211,2.7537147924655323,15.423333,61.013958,0.15563000738620758,1,-1.0,-1.0,-1.0,2.1884E42,1.7915E42,2.6745E42,3.8599E42,2.9584E42,5.5413E42,3.1167E-14,2.5769E-14,3.8233E-14,-1.0,-1.0,-1.0,2.1888E42,1.7915E42,2.6799E42,3.8599E42,2.9595E42,5.5415E42,3.1176E-14,2.578E-14,3.8234E-14,5.99,0.6012,3845360056346797824,2016.0,138.38074684551972,2.7585161731777443,-0.010105537032716026,-0.09542934934092437,0.07885181571049214,,"(138.38074725687272, 2.758515833676871, -0.010105537032716026, -0.09542934931367922, 0.0788518157434652, 5.401958297181041E-7)",2.758515833676871,138.38074725687272,,,18.10344592259108
eFEDS J091431.6+010910,4637,138.63180723546452,1.1528141962597018,10.910902,55.208744,0.54274,0,-1.0,-1.0,-1.0,2.7852E43,2.0569E43,3.4348E43,6.3619E43,4.6141E43,9.1381E43,2.4982E-14,1.9087E-14,3.0329E-14,-1.0,-1.0,-1.0,3.0182E43,2.1815E43,3.8335E43,6.9708E43,4.9001E43,1.006E44,2.7034E-14,2.0219E-14,3.3574E-14,5.43,0.6563,3843457415899140864,2016.0,138.6334061450778,1.1534517674815086,-0.40775234751136846,-0.6701522533811326,-0.9370294947191705,,"(138.63340903104034, 1.1534558019140537, -0.40775234751136685, -0.6701522543312279, -0.9370294940396628, 1.1594297879849564E-6)",1.1534558019140537,138.63340903104034,2,2,6.210774995880341
eFEDS J091431.6+010910,4637,138.63180723546452,1.1528141962597018,10.910902,55.208744,0.54274,0,-1.0,-1.0,-1.0,2.7852E43,2.0569E43,3.4348E43,6.3619E43,4.6141E43,9.1381E43,2.4982E-14,1.9087E-14,3.0329E-14,-1.0,-1.0,-1.0,3.0182E43,2.1815E43,3.8335E43,6.9708E43,4.9001E43,1.006E44,2.7034E-14,2.0219E-14,3.3574E-14,5.43,0.6563,3843457415899579648,2016.0,138.62852735804702,1.1576310631659528,-0.026509228123473248,-0.12126462172291322,0.11118524762170118,,"(138.62852788026518, 1.157630584451692, -0.02650922812347324, -0.12126462170243957, 0.11118524764403073, 3.6372683640231847E-7)",1.157630584451692,138.62852788026518,2,2,20.975181351202146
eFEDS J091749.4+014621,9976,139.45595127520204,1.7727669509498156,21.383636,42.62158,0.3545999974012375,1,-1.0,-1.0,-1.0,1.5209E43,1.3E43,1.7715E43,3.7848E43,3.0542E43,4.9338E43,3.8448E-14,3.2692E-14,4.4464E-14,-1.0,-1.0,-1.0,2.6092E43,2.2984E43,2.9726E43,6.4475E43,5.389E43,8.47E43,6.5919E-14,5.8046E-14,7.4737E-14,8.02,2.3785,3845003539701609472,2016.0,139.4584744604202,1.7678372612194755,0.04794591400855461,0.06428131568771048,0.2281315031047448,,"(139.45847418352162, 1.7678362789866149, 0.0479459140085546, 0.06428131565369831, 0.22813150311432845, -4.173762776185396E-7)",1.7678362789866149,139.45847418352162,,,19.937149025752994
eFEDS J092004.3+010023,11754,140.01830896984873,1.006556303635774,19.95344,35.882805,0.03321,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7663E41,-1.0,-1.0,2.7183E41,-1.0,-1.0,6.9195E-14,-1.0,-1.0,-1.0,-1.0,-1.0,1.7737E41,-1.0,-1.0,2.7185E41,-1.0,-1.0,6.931E-14,23.03,2.9563,3844132550398311296,2016.0,140.0204768193515,1.0035232523611692,0.21578302632843,0.00680264841312379,0.11456129716576194,,"(140.02047679005784, 1.00352275911114, 0.21578302632843, 0.00680264841209797, 0.11456129716582286, -2.1742786185854814E-8)",1.00352275911114,140.02047679005784,,,13.42196212373458
eFEDS J092803.4+010953,1527,142.01421865723205,1.1648466501046157,12.987626,163.72327,0.5524700284004211,1,-1.0,-1.0,-1.0,6.0935E43,5.2537E43,6.9485E43,1.3888E44,1.2058E44,1.6443E44,5.2527E-14,4.5915E-14,5.957E-14,-1.0,-1.0,-1.0,7.2068E43,6.1327E43,8.2276E43,1.6527E44,1.3979E44,1.9662E44,6.2241E-14,5.381E-14,7.0536E-14,8.7,1.0762,3841007360398241536,2016.0,142.01523993216733,1.1655249773742218,-0.2121756807253019,0.19919190493435918,-0.24857398681862086,,"(142.01523907435805, 1.1655260476233318, -0.21217568072530182, 0.1991919050100585, -0.24857398675795972, 1.7035498066393065E-7)",1.1655260476233318,142.01523907435805,,,4.41260964241494
eFEDS J093525.9+035101,3773,143.8579520686215,3.8503297232305047,6.150848,31.577312,1.26075,0,-1.0,-1.0,-1.0,1.0146E44,6.7936E43,1.4546E44,3.1252E44,2.1898E44,4.539E44,1.3399E-14,9.6787E-15,1.7715E-14,-1.0,-1.0,-1.0,1.2352E44,7.8262E43,1.7676E44,3.8526E44,2.4975E44,5.6281E44,1.6329E-14,1.0798E-14,2.2183E-14,3.83,0.6713,3850846340196281344,2016.0,143.85775266272412,3.851184339285706,-0.24097893884494961,0.1091487648800897,0.34761293689868694,,"(143.85775219171444, 3.8511828426188934, -0.2409789388449495, 0.10914876468815751, 0.34761293695895257, 1.962355034471254E-7)",3.8511828426188934,143.85775219171444,,,3.1540258974043422
