Name,ID_SRC,src_RA,src_DEC,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,Separation
eFEDS J090302.7+044056,20709,135.7615894292975,4.682453545801738,1.4121627e-14,4.7147065e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,109.34866948995726
eFEDS J090238.3+044306,24080,135.6598834575597,4.71848398439337,9.660787e-15,3.897658e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,298.18060161392674
eFEDS J090250.4+043655,28924,135.71033227359126,4.615524443952792,7.85434e-15,3.257907e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,233.25383657192128
eFEDS J090305.0+043852,32468,135.7709473784725,4.64797078868008,7.33671e-15,3.2425812e-15,eFEDS J090255.5+044036,4348,135.73165893554688,4.676731109619141,174.90737332798335
eFEDS J084131.5-005217,219,130.3815618015899,-0.8714603596730113,2.469646e-13,1.5770698e-14,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,108.47485464250693
eFEDS J084126.1-005200,220,130.3588373872771,-0.8668409413653301,1.1564743e-14,4.397312e-15,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,161.12014587623494
eFEDS J084126.7-004920,14798,130.36127106019487,-0.8224035550442933,1.3864973e-14,4.2797034e-15,eFEDS J084135.7-005048,4430,130.3988494873047,-0.8467797040939331,161.23962352035053
eFEDS J091427.7+010730,30166,138.61559527745766,1.1250358620807883,1.1141563e-14,4.007995e-15,eFEDS J091431.6+010910,4637,138.63180541992188,1.1528141498565674,115.77782293290986
eFEDS J090602.1+002419,3548,136.50914112142198,0.40533199314762686,3.9994968e-14,6.319144e-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,160.17768709661712
eFEDS J090545.1+002452,3858,136.43823195469048,0.4146687411295888,3.2049213e-14,5.6045426e-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,179.68148147764126
eFEDS J090543.6+002604,3859,136.4319991051582,0.4345493098584545,2.236432e-14,4.8715097e-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,248.80853652301604
eFEDS J090601.1+002022,12692,136.50488509950713,0.33963687286059324,1.9986049e-14,5.089158e-15,eFEDS J090553.5+002244,5170,136.4732208251953,0.379073828458786,182.0710545499414
eFEDS J091115.0-015005,3302,137.81277677066387,-1.8348303407216497,4.170968e-14,5.868396e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,277.76484770329523
eFEDS J091104.4-015334,5375,137.7683540865744,-1.8929264356018596,2.18033e-14,4.571935e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,73.0693187627713
eFEDS J091110.7-015129,13320,137.79493324065015,-1.8582389201445058,1.5001641e-14,3.829376e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,177.66271233225473
eFEDS J091055.7-015158,18462,137.7320930586991,-1.866322696916101,1.214252e-14,3.4754727e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,234.73562334193716
eFEDS J091054.2-015505,25645,137.72585668568118,-1.9182461513241706,8.374092e-15,3.0420212e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,212.3378391638736
eFEDS J091114.0-015401,26389,137.8083549864039,-1.9003759775099074,6.8270754e-15,2.6655142e-15,eFEDS J091108.0-015422,5376,137.7836456298828,-1.906282901763916,91.41239634796938
