Name,ID_SRC,ID_hard,RA_1,DEC_1,RA_CORR,DEC_CORR,ML_FLUX,ML_FLUX_ERR,clust_ID,clus_ID_SRC,clus_RA,clust_DEC,source_id,ra_2,dec_2,separation_2,matches,GroupID,GroupSize,Separation
eFEDS J083532.5+030911,3198,-99,128.88576873604504,3.1534060534556723,128.88583213899972,3.1533118609777286,6.315509E-14,8.718167E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,0.005768561488991732
eFEDS J083537.9+031001,10950,-99,128.90821981249204,3.1671119071515963,128.90828403913068,3.1670173872560365,1.6988428E-14,4.701238E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,94.58637589388863
eFEDS J083536.2+030808,22425,-99,128.90081871997896,3.135693322378768,128.90088105848488,3.135599553038289,9.65044E-15,3.5596903E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,83.61538740157589
eFEDS J083551.1+030737,25792,-99,128.9629676618515,3.1270853720592884,128.9630294830768,3.126991808353178,7.838621E-15,3.1984817E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,293.218878210274
eFEDS J083531.9+031123,27635,-99,128.8829974066705,3.18990010816497,128.8830630028736,3.189805043884608,1.0625086E-14,3.848301E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,131.75203671975936
eFEDS J083525.3+030437,29531,-99,128.85550349401154,3.0772953367066087,128.85556232337933,3.0772029624291206,1.0800617E-14,3.772363E-15,eFEDS J083532.5+030911,3198,128.88583374023438,3.1533119678497314,3080000556397200128,128.9474334716797,3.102900743484497,286.29876708984375,4,10,7,294.80973301498886
eFEDS J093530.1+035154,3772,-99,143.8754602769063,3.865162447735407,143.87556649128965,3.8650512521880445,4.5622763E-14,7.0765224E-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,3850846340196281344,143.85775756835938,3.851184368133545,3.158889055252075,2,16,5,82.52201500308703
eFEDS J093525.9+035101,3773,-99,143.85784674056998,3.8504405670884965,143.8579520686215,3.8503297232305047,4.2639134E-14,8.112143E-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,3850846340196281344,143.85775756835938,3.851184368133545,3.158889055252075,2,16,5,0.01388241577484998
eFEDS J093527.4+035503,6153,-99,143.8643646131555,3.917754780991895,143.86447399417364,3.917642329072127,3.0044597E-14,5.72705E-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,3850846340196281344,143.85775756835938,3.851184368133545,3.158889055252075,2,16,5,243.4539395576121
eFEDS J093532.5+034729,16265,-99,143.88561781890135,3.791655961494002,143.8857196081949,3.7915465219349223,1.345607E-14,4.362152E-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,3850846340196281344,143.85775756835938,3.851184368133545,3.158889055252075,2,16,5,233.9405456192736
eFEDS J093536.3+034647,16266,-99,143.90132683397314,3.779849573240861,143.90142791260854,3.779740415723278,8.398212E-15,3.4550927E-15,eFEDS J093525.9+035101,3773,143.8579559326172,3.850329637527466,3850846340196281344,143.85775756835938,3.851184368133545,3.158889055252075,2,16,5,298.2635267308248
eFEDS J092209.3+034628,367,-99,140.5390263269466,3.774717805912922,140.53912709669456,3.7746087709875584,8.441325E-13,4.2756075E-14,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,3845941247027895040,140.5880584716797,3.808669090270996,27.128568649291992,2,3,5,192.02451365203302
eFEDS J092220.4+034806,4014,-99,140.58507789365544,3.801811855158688,140.58518029427842,3.8017021729865927,1.377186E-13,,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,3845941247027895040,140.5880584716797,3.808669090270996,27.128568649291992,2,3,5,0.02059844750170395
eFEDS J092230.0+035019,18679,-99,140.62522313749534,3.8387221151088036,140.62532776006358,3.8386115511916095,8.746965E-15,3.1411696E-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,3845941247027895040,140.5880584716797,3.808669090270996,27.128568649291992,2,3,5,196.10645574584697
eFEDS J092230.2+035127,18680,-99,140.62590326233394,3.8578384082744637,140.62600903576828,3.857727387690266,1.0014199E-14,3.3028034E-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,3845941247027895040,140.5880584716797,3.808669090270996,27.128568649291992,2,3,5,249.3849272446024
eFEDS J092219.4+035259,26750,-99,140.58089692154138,3.883327427716672,140.58100422960067,3.883215798228121,7.957451E-15,2.8576888E-15,eFEDS J092220.4+034806,4014,140.58517456054688,3.8017022609710693,3845941247027895040,140.5880584716797,3.808669090270996,27.128568649291992,2,3,5,293.8308071553147
