source_id,ra,dec,redshift_qsoc,classlabel_dsc
581211054852724992,132.8919775318706,3.6281680894051767,1.2503043,star
581216969024254208,132.7761034702424,3.758115516668993,0.35912573,quasar
581217140821701632,132.8151391381792,3.7849397361160118,2.5462787,star
581217965455587968,132.97167134587994,3.802312262962841,,star
581225730757526400,133.00889266809546,3.930020555561389,,star
581228926212124928,132.7803748232775,3.7975169975704417,1.9333105,quasar
581230128802964480,132.73199254500284,3.8591226218505503,2.8375947,star
581230880421954304,132.8091767954154,3.8668484074922675,0.4167492,star
581233015020986112,132.6150533606262,3.854159347893611,1.0194994,quasar
581233457402335616,132.64484777667607,3.872331298310039,0.53803986,quasar
581233599136390528,132.6621472796219,3.892038991329778,5.374709,star
581234080172345728,132.54274820039603,3.883576207994194,4.428909,quasar
581235347187994624,132.72115274164986,3.9470107668536203,,star
581235518986772352,132.7864566222493,3.9465143577446637,0.62966204,quasar
581236897671254400,132.71848684925337,4.008931902640811,2.7104669,star
581241948552780672,132.80086406980223,4.015219138804522,2.211405,quasar
581242390934399616,132.85355659917394,4.0433782029618905,3.113481,quasar
581247751053468160,131.45779034359526,3.0836107968689994,0.5316542,star
581251053883643648,131.42269690634265,3.1299753151792626,0.66985905,star
581251878517365760,131.40220419641412,3.1447554000622353,1.2143353,star
581254661655828096,131.67549534684645,3.1484493462552052,2.5130408,quasar
581255589369159680,131.7062634737219,3.2130904191804177,2.6159053,quasar
581256104765207424,131.59387090942144,3.2228234966063622,0.10648577,galaxy
581256134829158784,131.6184611167951,3.219294888848756,,galaxy
581259197141110784,131.5958921634043,3.247958753925397,2.2751205,star
581259678177435392,131.6147445654943,3.2729275964936817,4.909636,quasar
581260154918944256,131.53907845153458,3.2690956424502677,,star
581260326717270016,131.53349026277832,3.285822391374356,2.7595,star
581261391869174656,131.696353202202,3.3251569327223103,5.2960286,star
581262255158308992,131.6905616489667,3.373005680085044,1.6631902,quasar
581262491380816256,131.65548706365882,3.3587242078692734,0.751198,quasar
581267095586251904,131.33338685258286,3.2923143602667557,2.566935,quasar
581267095586253568,131.32950406487382,3.297604570784228,0.9707885,star
581271424913717120,131.252997677722,3.3665617432871735,2.4890258,star
581271527992523136,131.2664514173843,3.3747035958797698,,star
581273039820489728,131.50226336477493,3.343912849706035,2.3838668,star
581274139332643840,131.47041676295288,3.3877763399396894,1.4342976,star
581275208780540160,131.63797890719667,3.4451435819330265,2.5727851,quasar
581277781465316096,131.33568489207903,3.4161390990220655,0.37437922,quasar
581278090702575104,131.33137582309772,3.4387045318387974,1.8046185,quasar
581278743537632384,131.38281559925747,3.4880246787505613,0.86118174,quasar
581282901065430400,131.85186955836284,3.4078996436711266,1.3752156,physicalbinary
581285718563965184,131.73628019048445,3.3880513291859637,0.8648115,quasar
581287127313272704,131.73347676664008,3.4494965576113006,2.411143,quasar
581289330631931136,131.82851193238645,3.5242862164644344,0.2079852,star
581291147402707584,131.98255919963054,3.5172234866790264,3.0123286,quasar
581292006396171776,132.0985625108422,3.524390782383173,5.088676,quasar
